date,trap_count,is_sticky_sheet_replaced,lat,lon,time_delta,crop_name,trap_id_id
2020-05-17,9.0,0.0,36.57814,-121.506536,12.0,Brussels sprout,112
2020-05-24,25.0,0.0,36.57814,-121.506536,15.0,Brussels sprout,112
2020-05-31,7.0,0.5,36.57814,-121.506536,24.0,Brussels sprout,112
2020-06-07,16.0,0.0,36.57814,-121.506536,5.0,Brussels sprout,112
2020-06-14,5.5,0.5,36.57814,-121.506536,12.0,Brussels sprout,112
2020-06-21,20.0,0.0,36.57814,-121.506536,5.0,Brussels sprout,112
2020-06-28,21.0,0.0,36.57814,-121.506536,12.0,Brussels sprout,112
2020-07-05,19.0,0.0,36.57814,-121.506536,17.0,Brussels sprout,112
2020-07-12,66.5,0.5,36.57814,-121.506536,26.0,Brussels sprout,112
2020-07-19,21.5,0.0,36.57814,-121.506536,5.0,Brussels sprout,112
2020-07-26,13.0,0.0,36.57814,-121.506536,14.0,Brussels sprout,112
2020-08-02,35.0,0.0,36.57814,-121.506536,17.0,Brussels sprout,112
2020-08-02,16.0,0.0,38.842216,-106.131126,7.0,Broccoli,114
2020-08-09,21.0,0.0,38.842216,-106.131126,11.0,Broccoli,114
